dia,periodo,tipo_entrega,borda,refrigerante,valor_total,tempo
quinta,Pico,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
quinta,Pico,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 22-33"
quinta,Pico,Buscar,"borda nao","refrigerante sim","vl 22-26","tp 33-44"
quinta,Pico,Buscar,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
quinta,Final,Buscar,"borda nao","refrigerante sim","vl 22-26","tp 33-44"
quinta,Final,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
sexta,Inicio,Buscar,"borda sim","refrigerante nao","vl 30-34","tp 33-44"
sexta,Inicio,Buscar,"borda nao","refrigerante nao","vl 18-22","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 22-33"
sexta,Pico,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 22-33"
sexta,Pico,Entrega,"borda nao","refrigerante sim","vl 26-30","tp 22-33"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 34-38","tp 33-44"
sexta,Pico,Entrega,"borda sim","refrigerante nao","vl 30-34","tp 33-44"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 26-30","tp 33-44"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 33-44"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 18-22","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante sim","vl 34-38","tp 44-55"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 22-26","tp 44-55"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
sexta,Pico,Buscar,"borda nao","refrigerante nao","vl 30-34","tp 22-33"
sexta,Pico,Entrega,"borda nao","refrigerante nao","vl 30-34","tp 44-55"
